type,ent_ts,ent_px,qty,sl,tp,ent_idx,scale,exit_px,exit_ts,reason,pnl,equity
long,2023-08-31 10:08:00-04:00,15559.0,2.8,15488.75,15618.75,444585,2.8,15554.25,2023-08-31 10:52:00-04:00,VWAP,-273.672,279983.478
long,2023-08-31 10:53:00-04:00,15567.25,2.7,15488.75,15618.75,444630,2.7,15569.25,2023-08-31 10:54:00-04:00,5m,100.602,280084.08
long,2023-08-31 11:25:00-04:00,15559.75,2.8,15488.75,15618.75,444662,2.8,15553.75,2023-08-31 11:33:00-04:00,VWAP,-343.67199999999997,279740.408
long,2023-08-31 11:38:00-04:00,15561.0,2.7,15488.75,15618.75,444675,2.7,15557.5,2023-08-31 11:51:00-04:00,VWAP,-196.39800000000002,279544.01
long,2023-09-04 09:53:00-04:00,15576.25,2.7,15554.25,15596.25,447328,2.7,15568.5,2023-09-04 10:03:00-04:00,VWAP,-425.898,279118.11199999996
long,2023-09-05 10:48:00-04:00,15509.5,2.7,15450.0,15564.0,448523,2.7,15564.0,2023-09-05 11:06:00-04:00,TP,2935.602,282053.714
long,2023-09-05 11:38:00-04:00,15511.25,2.8,15450.0,15564.0,448573,2.8,15512.0,2023-09-05 11:39:00-04:00,5m,34.327999999999996,282088.042
long,2023-09-05 11:42:00-04:00,15510.0,2.8,15450.0,15564.0,448577,2.8,15510.75,2023-09-05 11:44:00-04:00,5m,34.327999999999996,282122.37
long,2023-09-05 11:46:00-04:00,15508.25,2.8,15450.0,15564.0,448581,2.8,15564.0,2023-09-05 14:18:00-04:00,TP,3114.328,285236.698
long,2023-09-07 11:32:00-04:00,15241.25,2.8,15157.5,15324.5,451327,2.8,15215.5,2023-09-07 11:51:00-04:00,VWAP,-1449.672,283787.02599999995
long,2023-09-07 13:09:00-04:00,15244.0,2.8,15157.5,15324.5,451424,2.8,15241.5,2023-09-07 13:14:00-04:00,5m,-147.672,283639.35399999993
long,2023-09-07 13:16:00-04:00,15252.25,2.8,15157.5,15324.5,451431,2.8,15289.5,2023-09-07 14:59:00-04:00,EOD,2078.328,285717.682
long,2023-09-08 09:48:00-04:00,15361.75,2.8,15270.0,15446.0,452603,2.8,15338.75,2023-09-08 09:55:00-04:00,VWAP,-1295.6719999999998,284422.00999999995
long,2023-09-08 10:05:00-04:00,15369.0,2.8,15270.0,15446.0,452620,2.8,15346.25,2023-09-08 10:09:00-04:00,5m,-1281.672,283140.33799999993
long,2023-09-08 10:12:00-04:00,15368.0,2.8,15270.0,15446.0,452627,2.8,15345.0,2023-09-08 10:40:00-04:00,VWAP,-1295.6719999999998,281844.66599999997
long,2023-09-08 11:31:00-04:00,15358.5,2.8,15270.0,15446.0,452706,2.8,15343.0,2023-09-08 11:57:00-04:00,VWAP,-875.672,280968.99399999995
short,2023-09-11 11:50:00-04:00,15371.75,2.8,15448.25,15300.25,454105,2.8,15372.5,2023-09-11 11:54:00-04:00,5m,-49.67199999999999,280919.3219999999
short,2023-09-12 13:20:00-04:00,15387.25,2.8,15449.75,15328.25,455572,2.8,15392.25,2023-09-12 13:21:00-04:00,VWAP,-287.672,280631.6499999999
long,2023-09-13 10:41:00-04:00,15562.25,2.8,15493.5,15629.5,456773,2.8,15555.25,2023-09-13 10:44:00-04:00,5m,-399.67199999999997,280231.9779999999
long,2023-09-13 10:51:00-04:00,15563.75,2.8,15493.5,15629.5,456783,2.8,15537.25,2023-09-13 14:54:00-04:00,VWAP,-1491.6719999999998,278740.3059999999
long,2023-09-14 11:45:00-04:00,15643.25,2.7,15582.5,15695.0,458217,2.7,15695.0,2023-09-14 12:15:00-04:00,TP,2787.1020000000003,281527.40799999994
short,2023-09-15 09:55:00-04:00,15509.0,2.8,15627.5,15416.5,459487,2.8,15416.5,2023-09-15 11:21:00-04:00,TP,5172.328,286699.7359999999
long,2023-09-18 10:17:00-04:00,15435.75,2.8,15343.0,15527.0,460888,2.8,15404.5,2023-09-18 10:29:00-04:00,VWAP,-1757.672,284942.0639999999
long,2023-09-18 11:42:00-04:00,15441.0,2.8,15343.0,15527.0,460973,2.8,15411.75,2023-09-18 14:50:00-04:00,VWAP,-1645.6719999999998,283296.3919999999
long,2023-09-20 09:56:00-04:00,15433.75,2.8,15375.0,15486.0,463626,2.8,15412.25,2023-09-20 09:59:00-04:00,5m,-1211.672,282084.71999999986
short,2023-09-20 12:28:00-04:00,15374.75,2.8,15430.5,15319.5,463778,2.8,15376.5,2023-09-20 12:29:00-04:00,5m,-105.67199999999998,281979.0479999999
short,2023-09-20 12:48:00-04:00,15370.25,2.8,15430.5,15319.5,463798,2.8,15381.75,2023-09-20 12:58:00-04:00,VWAP,-651.6719999999999,281327.3759999999
short,2023-09-20 13:00:00-04:00,15374.0,2.8,15430.5,15319.5,463810,2.8,15382.75,2023-09-20 13:08:00-04:00,VWAP,-497.672,280829.70399999985
long,2023-09-22 10:05:00-04:00,14951.0,2.8,14888.0,14994.0,466395,2.8,14925.0,2023-09-22 10:14:00-04:00,VWAP,-1463.672,279366.0319999999
long,2023-09-22 10:23:00-04:00,14951.0,2.7,14888.0,14994.0,466413,2.7,14994.0,2023-09-22 10:35:00-04:00,TP,2314.602,281680.63399999985
long,2023-09-25 12:51:00-04:00,14869.75,2.8,14782.5,14952.5,467940,2.8,14880.75,2023-09-25 12:54:00-04:00,5m,608.328,282288.9619999998
long,2023-09-29 09:49:00-04:00,15017.5,2.8,14976.75,15055.75,473278,2.8,15055.75,2023-09-29 10:02:00-04:00,TP,2134.328,284423.28999999986
long,2023-09-29 10:13:00-04:00,15017.5,2.8,14976.75,15055.75,473302,2.8,15027.75,2023-09-29 10:14:00-04:00,5m,566.328,284989.61799999984
long,2023-09-29 10:17:00-04:00,15023.5,2.8,14976.75,15055.75,473306,2.8,15013.25,2023-09-29 10:18:00-04:00,VWAP,-581.672,284407.9459999998
long,2023-09-29 10:19:00-04:00,15018.5,2.8,14976.75,15055.75,473308,2.8,15010.0,2023-09-29 10:21:00-04:00,VWAP,-483.67199999999997,283924.27399999986
long,2023-10-02 10:25:00-04:00,14963.0,2.8,14847.75,15074.25,474694,2.8,14932.5,2023-10-02 10:29:00-04:00,VWAP,-1715.6719999999998,282208.60199999984
long,2023-10-02 10:52:00-04:00,14969.5,2.8,14847.75,15074.25,474721,2.8,14949.25,2023-10-02 10:54:00-04:00,5m,-1141.672,281066.9299999998
long,2023-10-02 11:02:00-04:00,14961.25,2.8,14847.75,15074.25,474731,2.8,14952.75,2023-10-02 11:48:00-04:00,VWAP,-483.67199999999997,280583.2579999998
short,2023-10-03 10:03:00-04:00,14864.0,2.8,14925.25,14821.75,476052,2.8,14821.75,2023-10-03 10:10:00-04:00,TP,2358.328,282941.5859999998
long,2023-10-04 10:42:00-04:00,14835.0,2.8,14749.0,14920.0,477471,2.8,14778.0,2023-10-04 10:48:00-04:00,VWAP,-3199.672,279741.9139999998
long,2023-10-04 11:25:00-04:00,14837.5,2.7,14749.0,14920.0,477514,2.7,14817.75,2023-10-04 13:55:00-04:00,VWAP,-1073.898,278668.0159999998
long,2023-10-09 10:10:00-04:00,15038.25,2.7,14949.5,15124.0,481579,2.7,15010.75,2023-10-09 10:37:00-04:00,VWAP,-1492.398,277175.6179999998
long,2023-10-12 10:46:00-04:00,15428.25,2.7,15366.0,15466.5,485755,2.7,15408.75,2023-10-12 11:02:00-04:00,VWAP,-1060.398,276115.2199999998
long,2023-10-12 11:04:00-04:00,15418.25,2.7,15366.0,15466.5,485773,2.7,15466.5,2023-10-12 11:23:00-04:00,TP,2598.102,278713.3219999998
long,2023-10-12 11:31:00-04:00,15418.0,2.7,15366.0,15466.5,485800,2.7,15409.25,2023-10-12 11:33:00-04:00,VWAP,-479.898,278233.42399999977
